feed,data_source,kelly_fraction,gamma_target,tail_hedge_trigger,stress_guard_multiple,total_pnl,var_capture,max_drawdown,avg_daily_theta,dd_limit,survived,tuning_survived,profitable,final_bankroll
bates,synthetic,0.15,0.005,0.2,2.0,-125.98701040089969,-2.0350282579976477,281.7284614137734,2.1971970188628074,1107.387297506855,False,True,False,99874.0129895991
bates,synthetic,0.15,0.005,0.2,2.5,-125.98701040089969,-2.0350282579976477,281.7284614137734,2.1971970188628074,1107.387297506855,False,True,False,99874.0129895991
bates,synthetic,0.15,0.005,0.3,2.0,-125.98701040089969,-2.0350282579976477,281.7284614137734,2.1971970188628074,1107.387297506855,False,True,False,99874.0129895991
bates,synthetic,0.15,0.005,0.3,2.5,-125.98701040089969,-2.0350282579976477,281.7284614137734,2.1971970188628074,1107.387297506855,False,True,False,99874.0129895991
bates,synthetic,0.15,0.01,0.2,2.0,-125.99142240050611,-2.0350282579976477,281.73048893428313,2.1971970188628074,1107.387297506855,False,True,False,99874.0085775995
bates,synthetic,0.15,0.01,0.2,2.5,-125.99142240050611,-2.0350282579976477,281.73048893428313,2.1971970188628074,1107.387297506855,False,True,False,99874.0085775995
bates,synthetic,0.15,0.01,0.3,2.0,-125.99142240050611,-2.0350282579976477,281.73048893428313,2.1971970188628074,1107.387297506855,False,True,False,99874.0085775995
bates,synthetic,0.15,0.01,0.3,2.5,-125.99142240050611,-2.0350282579976477,281.73048893428313,2.1971970188628074,1107.387297506855,False,True,False,99874.0085775995
gbm,synthetic,0.15,0.005,0.2,2.0,-171.87933883222456,-0.717049774357729,267.41288214238205,1.3440597486308832,677.4061133099651,False,True,False,99828.12066116778
gbm,synthetic,0.15,0.005,0.2,2.5,-171.87933883222456,-0.717049774357729,267.41288214238205,1.3440597486308832,677.4061133099651,False,True,False,99828.12066116778
gbm,synthetic,0.15,0.005,0.3,2.0,-171.87933883222456,-0.717049774357729,267.41288214238205,1.3440597486308832,677.4061133099651,False,True,False,99828.12066116778
gbm,synthetic,0.15,0.005,0.3,2.5,-171.87933883222456,-0.717049774357729,267.41288214238205,1.3440597486308832,677.4061133099651,False,True,False,99828.12066116778
gbm,synthetic,0.15,0.01,0.2,2.0,-154.7300085151536,-0.6030221471957515,288.0399321752276,1.427443039980168,719.4312921500048,False,True,False,99845.26999148485
gbm,synthetic,0.15,0.01,0.2,2.5,-154.7300085151536,-0.6030221471957515,288.0399321752276,1.427443039980168,719.4312921500048,False,True,False,99845.26999148485
gbm,synthetic,0.15,0.01,0.3,2.0,-154.7300085151536,-0.6030221471957515,288.0399321752276,1.427443039980168,719.4312921500048,False,True,False,99845.26999148485
gbm,synthetic,0.15,0.01,0.3,2.5,-154.7300085151536,-0.6030221471957515,288.0399321752276,1.427443039980168,719.4312921500048,False,True,False,99845.26999148485
real_aapl,plotly_finance_charts_apple,0.15,0.005,0.2,2.0,-20.378017247105745,-1.0446254731859572,89.98719391564802,1.074538218536625,541.567262142459,False,True,False,99979.6219827529
real_aapl,plotly_finance_charts_apple,0.15,0.005,0.2,2.5,-20.378017247105745,-1.0446254731859572,89.98719391564802,1.074538218536625,541.567262142459,False,True,False,99979.6219827529
real_aapl,plotly_finance_charts_apple,0.15,0.005,0.3,2.0,-20.378017247105745,-1.0446254731859572,89.98719391564802,1.074538218536625,541.567262142459,False,True,False,99979.6219827529
real_aapl,plotly_finance_charts_apple,0.15,0.005,0.3,2.5,-20.378017247105745,-1.0446254731859572,89.98719391564802,1.074538218536625,541.567262142459,False,True,False,99979.6219827529
real_aapl,plotly_finance_charts_apple,0.15,0.01,0.2,2.0,-20.38134756526837,-1.0446254731859572,89.98961813161233,1.074538218536625,541.567262142459,False,True,False,99979.61865243473
real_aapl,plotly_finance_charts_apple,0.15,0.01,0.2,2.5,-20.38134756526837,-1.0446254731859572,89.98961813161233,1.074538218536625,541.567262142459,False,True,False,99979.61865243473
real_aapl,plotly_finance_charts_apple,0.15,0.01,0.3,2.0,-20.38134756526837,-1.0446254731859572,89.98961813161233,1.074538218536625,541.567262142459,False,True,False,99979.61865243473
real_aapl,plotly_finance_charts_apple,0.15,0.01,0.3,2.5,-20.38134756526837,-1.0446254731859572,89.98961813161233,1.074538218536625,541.567262142459,False,True,False,99979.61865243473
rough,synthetic,0.15,0.005,0.2,2.0,43.19107087462063,-0.6081617178449239,55.858303671107535,0.6997288390339712,352.66333487312147,True,True,True,100043.19107087461
rough,synthetic,0.15,0.005,0.2,2.5,43.19107087462063,-0.6081617178449239,55.858303671107535,0.6997288390339712,352.66333487312147,True,True,True,100043.19107087461
rough,synthetic,0.15,0.005,0.3,2.0,43.19107087462063,-0.6081617178449239,55.858303671107535,0.6997288390339712,352.66333487312147,True,True,True,100043.19107087461
rough,synthetic,0.15,0.005,0.3,2.5,43.19107087462063,-0.6081617178449239,55.858303671107535,0.6997288390339712,352.66333487312147,True,True,True,100043.19107087461
rough,synthetic,0.15,0.01,0.2,2.0,43.19107087462063,-0.6081617178449239,55.858303671107535,0.6997288390339712,352.66333487312147,True,True,True,100043.19107087461
rough,synthetic,0.15,0.01,0.2,2.5,43.19107087462063,-0.6081617178449239,55.858303671107535,0.6997288390339712,352.66333487312147,True,True,True,100043.19107087461
rough,synthetic,0.15,0.01,0.3,2.0,43.19107087462063,-0.6081617178449239,55.858303671107535,0.6997288390339712,352.66333487312147,True,True,True,100043.19107087461
rough,synthetic,0.15,0.01,0.3,2.5,43.19107087462063,-0.6081617178449239,55.858303671107535,0.6997288390339712,352.66333487312147,True,True,True,100043.19107087461
