feed,data_source,kelly_fraction,gamma_target,tail_hedge_trigger,stress_guard_multiple,total_pnl,var_capture,max_drawdown,avg_daily_theta,dd_limit,survived,tuning_survived,profitable,final_bankroll
bates,synthetic,0.05,0.005,0.2,2.0,53.731746099469945,-1.0873825512524558,166.8590703547652,1.7075781803157455,860.6194028791357,True,True,True,100053.73174609947
bates,synthetic,0.05,0.005,0.2,2.5,53.731746099469945,-1.0873825512524558,166.8590703547652,1.7075781803157455,860.6194028791357,True,True,True,100053.73174609947
bates,synthetic,0.05,0.005,0.3,2.0,53.731746099469945,-1.0873825512524558,166.8590703547652,1.7075781803157455,860.6194028791357,True,True,True,100053.73174609947
bates,synthetic,0.05,0.005,0.3,2.5,53.731746099469945,-1.0873825512524558,166.8590703547652,1.7075781803157455,860.6194028791357,True,True,True,100053.73174609947
bates,synthetic,0.05,0.01,0.2,2.0,53.72901806787371,-1.0873825512524558,166.8606593034874,1.7075781803157455,860.6194028791357,True,True,True,100053.72901806787
bates,synthetic,0.05,0.01,0.2,2.5,53.72901806787371,-1.0873825512524558,166.8606593034874,1.7075781803157455,860.6194028791357,True,True,True,100053.72901806787
bates,synthetic,0.05,0.01,0.3,2.0,53.72901806787371,-1.0873825512524558,166.8606593034874,1.7075781803157455,860.6194028791357,True,True,True,100053.72901806787
bates,synthetic,0.05,0.01,0.3,2.5,53.72901806787371,-1.0873825512524558,166.8606593034874,1.7075781803157455,860.6194028791357,True,True,True,100053.72901806787
bates,synthetic,0.1,0.005,0.2,2.0,-157.0731767615062,-2.044664982504892,326.7653454587562,2.2471505892714356,1132.5638969928036,False,True,False,99842.9268232385
bates,synthetic,0.1,0.005,0.2,2.5,-157.0731767615062,-2.044664982504892,326.7653454587562,2.2471505892714356,1132.5638969928036,False,True,False,99842.9268232385
bates,synthetic,0.1,0.005,0.3,2.0,-157.0731767615062,-2.044664982504892,326.7653454587562,2.2471505892714356,1132.5638969928036,False,True,False,99842.9268232385
bates,synthetic,0.1,0.005,0.3,2.5,-157.0731767615062,-2.044664982504892,326.7653454587562,2.2471505892714356,1132.5638969928036,False,True,False,99842.9268232385
bates,synthetic,0.1,0.01,0.2,2.0,-157.07618741717948,-2.044664982504892,326.7665173453661,2.2471505892714356,1132.5638969928036,False,True,False,99842.92381258283
bates,synthetic,0.1,0.01,0.2,2.5,-157.07618741717948,-2.044664982504892,326.7665173453661,2.2471505892714356,1132.5638969928036,False,True,False,99842.92381258283
bates,synthetic,0.1,0.01,0.3,2.0,-157.07618741717948,-2.044664982504892,326.7665173453661,2.2471505892714356,1132.5638969928036,False,True,False,99842.92381258283
